"hairlength","jumpreach","gender","gender01"
3.94,71.84,"male",0
3.4,64.82,"male",0
30.06,26.43,"female",0
3.95,77.58,"male",0
4.1,64.46,"male",0
16.68,53.45,"female",0
26.67,23.13,"female",0
40.36,0.63,"female",0
12.82,48.76,"male",0
26.12,25.58,"female",0
22.55,37.27,"female",0
5.4,73.31,"male",0
26.09,25.1,"female",0
34.07,24.54,"female",0
6.2,73.6,"male",0
9.37,67.23,"female",0
34.43,19.95,"female",0
16.34,48.68,"female",0
18.23,47.47,"female",0
4.11,64.81,"male",0
22.37,44.03,"female",0
33.82,21.11,"female",0
24.32,30.49,"female",0
5.06,68.7,"male",0
29.54,12.32,"female",0
3.96,78.43,"male",0
20.9,40.22,"female",0
11.86,60.7,"female",0
9.41,65.19,"male",0
39.66,14.02,"female",0
